Instance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
b01,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
b02,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
b03,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
b04,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
b05,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
b06,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
b07,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
b08,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
b09,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
b10,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
b11,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
b12,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
b13,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
b14,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
b15,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322
b16,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137
b17,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
b18,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226
c01,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
c02,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
c03,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
c04,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115
c05,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603
c06,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
c07,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
c08,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528
c09,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728,728
c10,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127
c11,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
c12,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
c13,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276
c14,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337
c15,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567
c16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
c17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
c18,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
c19,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
c20,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268
d01,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
d02,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
d03,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653
d04,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008
d05,3311,3311,3311,3311,3311,3311,3311,3311,3311,3311,3311,3311,3311,3311,3311,3311,3311,3311,3311,3311
d06,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
d07,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
d08,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147
d09,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543
d10,2161,2161,2161,2161,2161,2161,2161,2161,2161,2161,2161,2161,2161,2161,2161,2161,2161,2161,2161,2161
d11,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
d12,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
d13,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533
d14,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703
d15,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150
d16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
d17,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
d18,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
d19,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
d20,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545
e01,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
e02,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244
e03,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238
e04,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310
e05,8321,8321,8321,8321,8321,8321,8321,8321,8321,8321,8321,8321,8321,8321,8321,8321,8321,8321,8321,8321
e06,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
e07,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169
e08,2818,2818,2818,2818,2818,2818,2818,2818,2818,2818,2818,2818,2818,2818,2818,2818,2818,2818,2818,2818
e09,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795
e10,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760
e11,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
e12,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
e13,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382
e14,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828
e15,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867
e16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
e17,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
e18,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651
e19,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814
e20,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358